iter	Passed	Remaining
552	12958	10474
553	12979	10449
554	13003	10426
555	13028	10404
556	13050	10379
557	13073	10355
558	13096	10332
559	13118	10307
560	13139	10282
561	13164	10259
562	13186	10235
563	13212	10214
564	13238	10192
565	13263	10170
566	13285	10146
567	13310	10123
568	13334	10100
569	13357	10076
570	13380	10052
571	13402	10028
572	13424	10003
573	13446	9979
574	13471	9957
575	13494	9933
576	13516	9909
577	13537	9884
578	13560	9860
579	13585	9837
580	13610	9815
581	13635	9793
582	13657	9768
583	13679	9744
584	13701	9719
585	13724	9696
586	13746	9671
587	13768	9647
588	13790	9622
589	13811	9597
590	13834	9573
591	13857	9550
592	13878	9525
593	13902	9502
594	13923	9477
595	13944	9451
596	13969	9429
597	13990	9405
598	14012	9380
599	14035	9356
600	14055	9331
601	14077	9306
602	14099	9282
603	14122	9259
604	14147	9236
605	14173	9214
606	14200	9194
607	14225	9171
608	14248	9148
609	14272	9125
610	14294	9101
611	14319	9078
612	14343	9055
613	14367	9032
614	14392	9009
615	14413	8984
616	14433	8959
617	14456	8935
618	14478	8911
619	14503	8889
620	14526	8865
621	14548	8841
622	14571	8817
623	14593	8793
624	14618	8771
625	14643	8748
626	14667	8725
627	14693	8703
628	14719	8682
629	14740	8657
630	14764	8633
631	14785	8609
632	14806	8584
633	14828	8560
634	14849	8535
635	14870	8510
636	14891	8486
637	14913	8461
638	14935	8437
639	14958	8413
640	14981	8390
641	15002	8365
642	15023	8341
643	15045	8316
644	15064	8291
645	15086	8267
646	15110	8244
647	15131	8219
648	15154	8196
649	15178	8172
650	15204	8151
651	15229	8128
652	15252	8105
653	15275	8081
654	15296	8057
655	15318	8032
656	15342	8010
657	15365	7986
658	15388	7962
659	15410	7938
660	15432	7914
661	15454	7890
662	15478	7867
663	15502	7844
664	15525	7820
665	15546	7796
666	15568	7772
667	15594	7750
668	15619	7727
669	15640	7703
670	15663	7679
671	15683	7655
672	15709	7632
673	15735	7610
674	15757	7587
675	15780	7563
676	15803	7540
677	15824	7515
678	15847	7491
679	15868	7467
680	15890	7443
681	15915	7420
682	15938	7397
683	15960	7373
684	15986	7351
685	16010	7328
686	16032	7304
687	16056	7281
688	16079	7257
689	16103	7234
690	16126	7211
691	16150	7188
692	16174	7165
693	16198	7142
694	16220	7118
695	16248	7096
696	16272	7073
697	16296	7050
698	16321	7028
699	16348	7006
700	16372	6983
701	16397	6960
702	16420	6937
703	16445	6914
704	16468	6891
705	16491	6867
706	16518	6845
707	16540	6821
708	16564	6798
709	16588	6775
710	16612	6752
711	16636	6729
712	16661	6706
713	16686	6683
714	16710	6660
715	16734	6637
716	16757	6614
717	16778	6589
718	16800	6565
719	16824	6542
720	16847	6519
721	16871	6496
722	16893	6472
723	16917	6449
724	16939	6425
725	16962	6401
726	16984	6377
727	17005	6353
728	17027	6330
729	17053	6307
730	17076	6283
731	17100	6260
732	17126	6238
733	17150	6215
734	17176	6192
735	17200	6169
736	17224	6146
737	17250	6124
738	17275	6101
739	17300	6078
740	17323	6055
741	17347	6031
742	17369	6007
743	17391	5984
744	17414	5960
745	17436	5936
746	17461	5914
747	17484	5890
748	17507	5867
749	17532	5844
750	17554	5820
751	17578	5797
752	17601	5773
753	17627	5751
754	17654	5729
755	17677	5705
756	17699	5681
757	17722	5658
758	17748	5635
759	17770	5611
760	17791	5587
761	17815	5564
762	17837	5540
763	17858	5516
764	17881	5493
765	17905	5469
766	17928	5446
767	17952	5423
768	17973	5398
769	17995	5375
770	18017	5351
771	18040	5327
772	18061	5303
773	18086	5280
774	18107	5257
775	18130	5233
776	18152	5209
777	18180	5187
778	18208	5165
779	18231	5142
780	18252	5118
781	18277	5095
782	18298	5071
783	18322	5047
784	18342	5023
785	18363	4999
786	18388	4976
787	18409	4952
788	18432	4929
789	18456	4906
790	18479	4882
791	18502	4859
792	18525	4835
793	18546	4811
794	18570	4788
795	18595	4765
796	18622	4743
797	18646	4720
798	18669	4696
799	18691	4672
800	18715	4649
801	18739	4626
802	18764	4603
803	18788	4580
804	18812	4557
805	18834	4533
806	18856	4509
807	18881	4486
808	18901	4462
809	18926	4439
810	18949	4416
811	18972	4392
812	18996	4369
813	19020	4346
814	19043	4322
815	19066	4299
816	19090	4276
817	19112	4252
818	19134	4228
819	19162	4206
820	19188	4183
821	19215	4161
822	19239	4137
823	19263	4114
824	19285	4090
825	19310	4067
826	19333	4044
827	19356	4020
828	19378	3997
829	19404	3974
830	19426	3950
831	19449	3927
832	19476	3904
833	19498	3880
834	19523	3857
835	19545	3834
836	19567	3810
837	19593	3787
838	19615	3764
839	19641	3741
840	19665	3717
841	19691	3695
842	19712	3671
843	19735	3647
844	19760	3624
845	19783	3601
846	19804	3577
847	19825	3553
848	19848	3530
849	19872	3506
850	19896	3483
851	19919	3460
852	19944	3437
853	19966	3413
854	19988	3389
855	20013	3366
856	20039	3343
857	20066	3321
858	20093	3298
859	20118	3275
860	20143	3251
861	20173	3229
862	20200	3206
863	20227	3183
864	20251	3160
865	20274	3137
866	20298	3113
867	20320	3090
868	20344	3066
869	20372	3044
870	20399	3021
871	20429	2998
872	20453	2975
873	20475	2951
874	20498	2928
875	20521	2904
876	20546	2881
877	20568	2858
878	20591	2834
879	20617	2811
880	20638	2787
881	20662	2764
882	20686	2741
883	20710	2717
884	20735	2694
885	20759	2671
886	20783	2647
887	20806	2624
888	20831	2600
889	20857	2577
890	20884	2554
891	20907	2531
892	20931	2507
893	20953	2484
894	20975	2460
895	20997	2437
896	21022	2413
897	21044	2390
898	21067	2366
899	21091	2343
900	21117	2320
901	21139	2296
902	21165	2273
903	21190	2250
904	21215	2227
905	21238	2203
906	21261	2180
907	21284	2156
908	21305	2132
909	21330	2109
910	21355	2086
911	21378	2062
912	21401	2039
913	21427	2016
914	21450	1992
915	21472	1969
916	21494	1945
917	21516	1921
918	21541	1898
919	21564	1875
920	21587	1851
921	21608	1828
922	21629	1804
923	21650	1780
924	21674	1757
925	21697	1733
926	21719	1710
927	21742	1686
928	21763	1663
929	21788	1640
930	21814	1616
931	21837	1593
932	21859	1569
933	21883	1546
934	21904	1522
935	21928	1499
936	21952	1476
937	21977	1452
938	22003	1429
939	22025	1405
940	22049	1382
941	22070	1358
942	22090	1335
943	22111	1311
944	22139	1288
945	22165	1265
946	22189	1241
947	22212	1218
948	22237	1195
949	22261	1171
950	22283	1148
951	22307	1124
952	22332	1101
953	22355	1077
954	22379	1054
955	22403	1031
956	22428	1007
957	22452	984
958	22474	960
959	22495	937
960	22518	913
961	22540	890
962	22567	867
963	22589	843
964	22616	820
965	22640	796
966	22664	773
967	22686	749
968	22707	726
969	22732	703
970	22758	679
971	22782	656
972	22805	632
973	22830	609
974	22850	585
975	22872	562
976	22895	538
977	22917	515
978	22941	492
979	22962	468
980	22984	445
981	23008	421
982	23032	398
983	23056	374
984	23077	351
985	23102	328
986	23125	304
987	23152	281
988	23178	257
989	23205	234
990	23230	210
991	23253	187
992	23277	164
993	23301	140
994	23322	117
995	23347	93
996	23372	70
997	23397	46
998	23423	23
999	23448	0
